Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-02-15 14:02:18.511 -0500,"Failure",0:00:00,1,0,0,"20180215_140218.511/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'additup'",0
2018-02-15 14:02:39.887 -0500,"Failure",0:00:00,1,0,0,"20180215_140239.887/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'addingtwoitems'",0
2018-02-15 14:03:03.501 -0500,"Failure",0:00:00,1,0,0,"20180215_140303.501/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'addingtwoitems'",0
2018-02-15 14:03:22.791 -0500,"Failure",0:00:00,1,0,0,"20180215_140322.791/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'addingtwoitems'",0
2018-02-15 14:03:44.874 -0500,"Failure",0:00:00,1,0,0,"20180215_140344.874/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'addingtwoitems'",0
2018-02-15 14:05:00.317 -0500,"Failure",0:00:00,1,0,0,"20180215_140500.317/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'addingtwoitems'",0
2018-02-15 14:05:33.138 -0500,"Failure",0:00:00,1,0,0,"20180215_140533.138/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'addingtwoitems'",0
2018-02-15 14:06:17.184 -0500,"Success",0:00:00,0,0,0,"20180215_140617.184/LogFile.txt","","",1
2018-02-15 14:06:43.475 -0500,"Success",0:00:00,0,0,0,"20180215_140643.475/LogFile.txt","","",1
2018-02-15 14:07:19.987 -0500,"Success",0:00:00,0,0,0,"20180215_140719.987/LogFile.txt","","",1
2018-02-15 14:08:04.708 -0500,"Success",0:00:00,0,0,0,"20180215_140804.708/LogFile.txt","","",1
2018-02-15 14:08:56.400 -0500,"Failure",0:00:00,1,0,0,"20180215_140856.400/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'addingtwoitems'",0
2018-02-15 14:09:17.343 -0500,"Failure",0:00:00,1,0,0,"20180215_140917.343/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'addingtwoitems'",0
2018-02-15 14:10:08.444 -0500,"Failure",0:00:00,1,0,0,"20180215_141008.444/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'addingtwoitems'",0
2018-02-15 14:11:10.962 -0500,"Failure",0:00:00,1,0,0,"20180215_141110.962/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'addingtwoitems'",0
2018-02-15 14:12:55.656 -0500,"Failure",0:00:00,1,0,0,"20180215_141255.656/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'addingtwoitems'",0
2018-02-15 14:13:15.052 -0500,"Failure",0:00:00,1,0,0,"20180215_141315.052/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'addingtwoitems'",0
2018-02-15 14:14:41.655 -0500,"Success",0:00:00,0,0,0,"20180215_141441.655/LogFile.txt","","",1
